station,date,idx30_obs,pred_stack,pred_meta,pred_gru,pred_ridge
华弹,2022-03-11,-0.828654246504261,-0.8208317898377049,-0.8544648928439857,-0.8105938162974555,-0.8752750933714106
华弹,2022-03-12,-0.8585222346312877,-0.8539697157432473,-0.8824555768487452,-0.8422461515412645,-0.8896884747806413
华弹,2022-03-13,-0.9218260147261327,-0.8973914407370817,-0.918536607025651,-0.883728779154396,-0.9219385603726206
华弹,2022-03-14,-1.017935366784176,-0.9595533811400296,-0.9808852331133056,-0.9424054848063544,-0.9669426914023556
华弹,2022-03-15,-1.0675057881101717,-1.0376210012394973,-1.079085524199581,-1.0223174051359758,-1.0969577253742069
华弹,2022-03-16,-1.1015922791163855,-1.0811404320002718,-1.1272442574639894,-1.0679565642913043,-1.1410978192571728
华弹,2022-03-17,-1.1154459596286055,-1.0859068825918679,-1.1374691719102368,-1.0714082015549986,-1.1397037016129696
华弹,2022-03-18,-1.1389551780885976,-1.1326387317580322,-1.1737867497671284,-1.118180415193532,-1.1966652139868368
华弹,2022-03-19,-1.1841610127611413,-1.1736619760598936,-1.208660822860683,-1.15923951264438,-1.2209975115260474
华弹,2022-03-20,-1.236086463611795,-1.2196096859907721,-1.2530590119287377,-1.2039502889352216,-1.251931655959279
华弹,2022-03-21,-1.29789206882705,-1.2704311685221337,-1.297633854922925,-1.250802281766202,-1.2809729440764779
华弹,2022-03-22,-1.4141051837865428,-1.372707262205868,-1.3668355373855798,-1.3473356982221925,-1.3238612644398595
华弹,2022-03-23,-1.6479054678325833,-1.5166119485579623,-1.4900812119030786,-1.4809574165192496,-1.4150425892977945
华弹,2022-03-24,-1.7671885383538106,-1.7025641870577994,-1.7095320447409785,-1.6690502779640435,-1.6874653812920324
华弹,2022-03-25,-1.7941222074181662,-1.7604881546595943,-1.7924813916163667,-1.7280082883727028,-1.7700658129195015
华弹,2022-03-26,-1.5819653534563793,-1.563860937846595,-1.6278374393610842,-1.5348531284976556,-1.515418584804277
华弹,2022-03-27,-1.4922750209763331,-1.4473974444393785,-1.4817004789679482,-1.4293396854108915,-1.481378394222251
华弹,2022-03-28,-1.5134465428909787,-1.4917804374707766,-1.4867564852892736,-1.4664131473724107,-1.491929786018542
华弹,2022-03-29,-1.4948311605486178,-1.481086107954685,-1.4875684047790723,-1.4540910611485212,-1.4940257706058198
华弹,2022-03-30,-1.421887216621212,-1.4117444557481387,-1.4308639191189667,-1.3848152980071655,-1.4120048065949184
华弹,2022-03-31,-1.1979091520500202,-1.2133749183572358,-1.2336821656870394,-1.1860582616815203,-1.160697144973046
华弹,2022-04-01,-1.045813208344857,-1.0553603558124147,-1.0607898522221897,-1.0349930366502031,-1.0537544434073107
华弹,2022-04-02,-0.9722738290904902,-0.9900316444735645,-0.9753939434450951,-0.9714715852021565,-0.9739152978469897
华弹,2022-04-03,-0.9585417168715226,-0.9783637594996437,-0.9469694600814053,-0.9615514225222949,-0.9611572159619969
华弹,2022-04-04,-0.6940283432379888,-0.7397922167410338,-0.7510515895107732,-0.7286881878303968,-0.6806809400564087
华弹,2022-04-05,-0.506109820698118,-0.4945050348920328,-0.5039976309623742,-0.4926537599184917,-0.5045851121138976
华弹,2022-04-06,-0.405094909017601,-0.40140007580788345,-0.3936221387799696,-0.4030492613017478,-0.41554218421898725
华弹,2022-04-07,-0.38784090754516165,-0.41891475460445293,-0.3847252154746618,-0.42010455678704717,-0.41635621097168163
华弹,2022-04-08,-0.30134613536733945,-0.30913039418394045,-0.3022410097838082,-0.3151588281322495,-0.31896813617279585
华弹,2022-04-09,-0.25816202652481857,-0.2503683295448253,-0.24382961149839857,-0.2594919765298586,-0.279711846648887
华弹,2022-04-10,-0.2361003047557617,-0.25330089750170987,-0.23647336448770434,-0.26351913400216115,-0.2907333658292403
华弹,2022-04-11,-0.20724709727194687,-0.2197791381116733,-0.20746798887901025,-0.2316518876227464,-0.2613216149590196
华弹,2022-04-12,-0.09177232567945663,-0.09357505940699809,-0.10479507681617777,-0.10823780273220387,-0.1310502517477456
华弹,2022-04-13,-0.10716657860713333,-0.10360097848845459,-0.08930618997662712,-0.11446059458294552,-0.15076896429457795
华弹,2022-04-14,-0.0015025274378276084,0.006328567429863788,-0.014291738752648527,-0.010718106549164729,-0.04548052717148199
华弹,2022-04-15,0.12514740246295525,0.13040052690430912,0.10347092396694953,0.11528544179067851,0.05501465482758536
华弹,2022-04-16,0.1665420444302501,0.17932943507734903,0.17415012419686413,0.16029439578126653,0.1116517192049373
华弹,2022-04-17,0.25386893317393494,0.2514862717935597,0.2310144205198161,0.22837302583953156,0.1667731903940807
华弹,2022-04-18,0.4195981555002796,0.398439752039154,0.3721487684782383,0.37157090356866157,0.31359066314362294
华弹,2022-04-19,0.5453241971650937,0.5279146440752382,0.5142500236284524,0.4967850881081259,0.4301588370611673
华弹,2022-04-20,0.5551749685681917,0.5229005455737548,0.5435763561519982,0.4896115793741786,0.4455246419397516
华弹,2022-04-21,0.5523172232839852,0.5324685875917152,0.5645156636314856,0.49456432981361304,0.481902232269533
华弹,2022-04-22,0.527163568091584,0.5365075279283784,0.5646216797309724,0.49703145978837227,0.5012177601289414
华弹,2022-04-23,0.5352011436520596,0.5184025780829307,0.5393073976823499,0.4804202625384091,0.4824838665085147
华弹,2022-04-24,0.5234700407912667,0.4304225120409659,0.48229756666067636,0.3984667012604121,0.4682080804624477
华弹,2022-04-25,0.26590377868930454,0.35907394420418526,0.4373620849137276,0.331398459241013,0.46624693102073755
华弹,2022-04-26,0.15815349087859837,0.16456341361043303,0.20161592166203124,0.14061751685487842,0.20753779043531018
华弹,2022-04-27,0.1199994334080745,0.10050134535047366,0.10364075154849026,0.07479575051806515,0.05794917422863041
华弹,2022-04-28,0.09473039815219209,0.07727319420910979,0.08624984476728606,0.05109789863917587,0.07484439564322158
华弹,2022-04-29,0.007033645351875771,0.0120462612566432,0.03973844201179871,-0.009816004183863905,0.016869148837650616
华弹,2022-04-30,-0.13750326948978592,-0.01800298950660791,0.013458613402840297,-0.0318190193894312,0.057967972646047104
华弹,2022-05-01,-0.12812223963388208,-0.036225395143688596,-0.051017215741197795,-0.051859712802803985,-0.0632279731887226
华弹,2022-05-02,-0.15719449857969645,-0.10175914909824545,-0.10294930743794883,-0.12172501241900033,-0.17615415128767808
华弹,2022-05-03,-0.14376691552892157,-0.15851006874145512,-0.14632949560892977,-0.17458112405565113,-0.20115267037929047
华弹,2022-05-04,-0.3995870283640566,-0.3695306331262957,-0.24590222327538955,-0.3734920499322032,-0.20472123105393902
华弹,2022-05-05,-0.5668087864157629,-0.5570493099516407,-0.47779672547031127,-0.5489216266425532,-0.4297706904088161
华弹,2022-05-06,-0.6434682206652165,-0.5910767975967739,-0.5914452421261773,-0.5831936755026279,-0.6093788210426114
华弹,2022-05-07,-0.6480504786718699,-0.6712450323259385,-0.6665981911634946,-0.6613065869144743,-0.7008248893516724
华弹,2022-05-08,-0.6220084489302418,-0.5556863560544871,-0.5666259590997387,-0.5438204477278854,-0.5819828006910763
华弹,2022-05-09,-0.5844883065943451,-0.534338180213709,-0.5494829896060731,-0.527634116229365,-0.5897001316509185
华弹,2022-05-10,-0.5859470073943387,-0.5972853283232704,-0.5879919427959737,-0.5900985527370077,-0.6458732309041901
华弹,2022-05-11,-0.5373092428181396,-0.5267111350810334,-0.5366412108004328,-0.5198874023080189,-0.5717647719489387
华弹,2022-05-12,-0.5802995428337712,-0.5412446007955618,-0.5247498966000459,-0.530439803216119,-0.5448137105457536
华弹,2022-05-13,-0.5198443072978132,-0.5211527097977504,-0.5414745595690287,-0.5159855230988557,-0.5977275567337836
