obs,pred
-0.828654246504261,-0.8752750933714106
-0.8585222346312877,-0.8896884747806413
-0.9218260147261327,-0.9219385603726206
-1.017935366784176,-0.9669426914023556
-1.0675057881101717,-1.0969577253742069
-1.1015922791163855,-1.1410978192571728
-1.1154459596286055,-1.1397037016129696
-1.1389551780885976,-1.1966652139868368
-1.1841610127611413,-1.2209975115260474
-1.236086463611795,-1.251931655959279
-1.29789206882705,-1.2809729440764779
-1.4141051837865428,-1.3238612644398595
-1.6479054678325833,-1.4150425892977945
-1.7671885383538106,-1.6874653812920324
-1.7941222074181662,-1.7700658129195015
-1.5819653534563793,-1.515418584804277
-1.4922750209763331,-1.481378394222251
-1.5134465428909787,-1.491929786018542
-1.4948311605486178,-1.4940257706058198
-1.421887216621212,-1.4120048065949184
-1.1979091520500202,-1.160697144973046
-1.045813208344857,-1.0537544434073107
-0.9722738290904902,-0.9739152978469897
-0.9585417168715226,-0.9611572159619969
-0.6940283432379888,-0.6806809400564087
-0.506109820698118,-0.5045851121138976
-0.405094909017601,-0.41554218421898725
-0.38784090754516165,-0.41635621097168163
-0.30134613536733945,-0.31896813617279585
-0.25816202652481857,-0.279711846648887
-0.2361003047557617,-0.2907333658292403
-0.20724709727194687,-0.2613216149590196
-0.09177232567945663,-0.1310502517477456
-0.10716657860713333,-0.15076896429457795
-0.0015025274378276084,-0.04548052717148199
0.12514740246295525,0.05501465482758536
0.1665420444302501,0.1116517192049373
0.25386893317393494,0.1667731903940807
0.4195981555002796,0.31359066314362294
0.5453241971650937,0.4301588370611673
0.5551749685681917,0.4455246419397516
0.5523172232839852,0.481902232269533
0.527163568091584,0.5012177601289414
0.5352011436520596,0.4824838665085147
0.5234700407912667,0.4682080804624477
0.26590377868930454,0.46624693102073755
0.15815349087859837,0.20753779043531018
0.1199994334080745,0.05794917422863041
0.09473039815219209,0.07484439564322158
0.007033645351875771,0.016869148837650616
-0.13750326948978592,0.057967972646047104
-0.12812223963388208,-0.0632279731887226
-0.15719449857969645,-0.17615415128767808
-0.14376691552892157,-0.20115267037929047
-0.3995870283640566,-0.20472123105393902
-0.5668087864157629,-0.4297706904088161
-0.6434682206652165,-0.6093788210426114
-0.6480504786718699,-0.7008248893516724
-0.6220084489302418,-0.5819828006910763
-0.5844883065943451,-0.5897001316509185
-0.5859470073943387,-0.6458732309041901
-0.5373092428181396,-0.5717647719489387
-0.5802995428337712,-0.5448137105457536
-0.5198443072978132,-0.5977275567337836
-0.341187501982285,-0.30464937383555957
-0.370681347066162,-0.35017756037163233
-0.34999927405874964,-0.37759248672971085
-0.28237803876789536,-0.2675386934561354
-0.3478124397288822,-0.26936601686408695
-0.3613294330539303,-0.2987944774386781
-0.28477607426348167,-0.3231332451653712
-0.1094929671642648,-0.1286508213034818
-0.023802312409569107,-0.04505238180665926
0.03336449856792681,0.005980636251457232
0.11516638885700935,0.059624444520769114
0.17302057192523243,0.12378923442695573
0.27438209867233865,0.23934021622086177
0.4694575983203408,0.3847451253559233
0.5003346685768333,0.43163377268938574
0.5481766000926631,0.48116926093892665
0.5029873860852125,0.5579963264677479
0.40338080865350506,0.5002179677640723
0.40899936512871427,0.39790575381351956
0.4993518530341665,0.49441450638970225
0.6306257243082667,0.6037756334455222
0.750998398145384,0.747057460373252
0.8740227210195533,0.8525776704450896
0.9180997750942017,0.8580640332732903
0.8931137511811682,0.9416024046476748
0.8871078144902531,0.8943473606881864
1.0117123470981502,0.9379426529132072
1.131513151337028,1.116953804872569
1.1939076029727251,1.173289430486644
1.336008472286071,1.3176566462044723
1.2380785638051497,1.4376494191251756
1.210288693050426,1.2002997920485006
1.2614936380692927,1.2632909255610405
1.2721386991852872,1.3408848567053544
1.2450328875181815,1.232861337032421
1.1754067845004703,1.1832646787993857
1.1636138290217237,1.1695694882007321
1.0279840969433454,1.1273007624882145
0.9566087876436205,0.9694515162015519
0.9685390416879398,0.961269934449948
0.9973747677936478,0.995300805587618
0.9938215070348125,0.9578264887997638
0.9111542365898619,0.9208984576578095
0.7870135986166173,0.8578291476598137
0.9303663008090658,0.8671633725356249
0.9640027873078834,0.8960920556468179
0.9141727274493261,0.8747986092818107
