phase,feature,n_samples,mean_z,std_z,p05_z,p95_z
train,pr,29136,-8.779358349589377e-18,1.0,-0.576617307308549,1.9771390475707564
train,tmean,29136,-1.560774817704778e-16,1.0,-2.1503138249549685,1.277915791669231
train,tmax,29136,-9.754842610654863e-17,1.0000000000000002,-2.083568050850896,1.31753504172583
train,tmin,29136,0.0,1.0,-2.2210672248927645,1.2354361189027294
train,et0,29136,1.5997941881473974e-16,1.0000000000000002,-1.513242277446964,1.7780877808079356
train,wind,29136,9.364648906228667e-17,1.0,-1.2752328564729192,1.9437929186678216
train,rad_net,29136,1.1705811132785835e-16,1.0,-1.757001364271736,1.5653740915192396
train,rad_down,29136,3.277627117180034e-16,1.0,-1.8669592484010475,1.5855361064370797
train,pr_mode_low,29136,-6.828389827458405e-18,1.0,-1.020063719247507,1.975865244741918
train,pr_mode_high,29136,-3.307501322675164e-18,1.0,-1.355285978764449,1.6687455725815252
train,tmean_mode_low,29136,-6.633292975245307e-17,1.0,-2.212051758810384,1.230622052706296
train,tmean_mode_mid,29136,6.3406476969256596e-18,1.0000000000000002,-1.6133714918872442,1.606620648275387
train,tmax_mode_low,29136,1.0925423723933445e-16,1.0,-2.166263885794096,1.245396099477293
train,tmax_mode_mid,29136,8.291616219056635e-18,1.0,-1.6874622117291014,1.5666959188941731
train,tmin_mode_low,29136,1.0535230019507251e-16,1.0,-2.246080166837079,1.221782218475448
train,tmin_mode_mid,29136,1.853420096024424e-17,1.0,-1.593511347708728,1.590999867350945
train,et0_mode_low,29136,-1.4046973359343e-16,1.0,-1.715945383587207,1.7261097980118372
train,et0_mode_mid,29136,0.0,1.0,-1.723304705430618,1.5060437727846614
train,wind_mode_low,29136,4.682324453114334e-16,1.0,-1.3497752957733042,1.9361319669460568
train,wind_mode_mid,29136,-1.621742584021371e-17,1.0,-1.6131849294822984,1.5986729923393914
train,rad_net_mode_low,29136,4.838401934884812e-16,1.0,-1.9771282284133609,1.49637329010543
train,rad_net_mode_high,29136,-1.6308877489688598e-17,1.0,-1.8241722936564744,1.5725335349362923
train,rad_down_mode_low,29136,5.540750602851962e-16,1.0,-1.8426246938245128,1.602610930123117
train,rad_down_mode_high,29136,-1.8290329894977866e-17,1.0,-1.811117834200908,1.5544548564791911
valid,pr,6240,-0.0169160035283169,1.006866804964806,-0.576617307308549,1.958529695501716
valid,tmean,6240,-0.0373696834791553,0.988337291688562,-2.087636195518639,1.282032548939269
valid,tmax,6240,-0.0490876230870073,0.9963726816869328,-2.023918262819485,1.328240048327895
valid,tmin,6240,-0.0181060697264797,0.973149070455974,-2.0582357117285395,1.273281909295344
valid,et0,6240,-0.0810837251298915,1.0081545302961794,-1.558929468117757,1.7855967087240954
valid,wind,6240,0.0887819115172442,1.0363189749119777,-1.2752328564729192,2.059793847501722
valid,rad_net,6240,-0.0714691817186093,0.990602640677376,-1.7815933042267742,1.52631305684501
valid,rad_down,6240,-0.1033769600148395,1.0025414320945871,-1.9658010722256327,1.4885356353415111
valid,pr_mode_low,6240,-0.0400067385435264,1.0044393866241643,-1.0159184673905195,2.0309815497453854
valid,pr_mode_high,6240,0.001056744476162,1.0153941069304853,-1.3696444377806838,1.6802719283347445
valid,tmean_mode_low,6240,-0.0319932869082514,0.9819658451421824,-2.080829844509178,1.2554485878323085
valid,tmean_mode_mid,6240,-0.0234623167072713,0.933073517193604,-1.51947343154069,1.487412671499291
valid,tmax_mode_low,6240,-0.0455365505306967,0.991826789904782,-2.0244350500620203,1.2544209067274106
valid,tmax_mode_mid,6240,-0.0193521507048897,0.9443745066335046,-1.596129903324783,1.5143518577799793
valid,tmin_mode_low,6240,-0.0111382348509076,0.9647799406316532,-2.0841797951994114,1.2734811564995223
valid,tmin_mode_mid,6240,-0.0276942976037158,0.9334359593525684,-1.5277208155814326,1.4168609559717331
valid,et0_mode_low,6240,-0.1035260330478608,1.0334135145230166,-1.7990712320948583,1.8339230705865808
valid,et0_mode_mid,6240,-0.0041027981544298,0.9626924056207296,-1.6858541949550545,1.482945809873896
valid,wind_mode_low,6240,0.1231075578866786,1.0064926000817878,-1.3184029972915503,2.0520730700307994
valid,wind_mode_mid,6240,0.0053727705184604,1.0405440634799563,-1.7092433842625852,1.680760870422648
valid,rad_net_mode_low,6240,-0.0973776611931993,1.0160778199314453,-2.0262876880380354,1.5095468045553384
valid,rad_net_mode_high,6240,0.0014971262219211,0.947103098451882,-1.6947200894529508,1.4860329585621426
valid,rad_down_mode_low,6240,-0.1488271199637029,1.0378145714801386,-2.1003537346736234,1.5536705713436552
valid,rad_down_mode_high,6240,0.0039922923908838,0.9497660207602944,-1.6876325017173404,1.478596568493109
test,pr,6256,-0.0677055970044278,0.9055355263350942,-0.576617307308549,1.788949879124866
test,tmean,6256,0.0128295704822886,0.9621493111155576,-1.942674880147424,1.3067330925594975
test,tmax,6256,0.0145853538269559,0.967429566315256,-1.8942332325904787,1.3604083268734073
test,tmin,6256,0.0116081562637226,0.9512818311051836,-1.9388795502778309,1.2508109712497293
test,et0,6256,0.0390863056091585,1.0272260846109615,-1.4745516592289214,1.860686154465388
test,wind,6256,0.092177229378776,1.0905208227730685,-1.2824829145250378,2.2047950085440973
test,rad_net,6256,0.056173239900176,0.9884807697196456,-1.6962137486271662,1.5740805004295184
test,rad_down,6256,0.0224755522112046,1.0078090821158,-1.8586285188702851,1.5524688437689242
test,pr_mode_low,6256,-0.1149462866336075,0.8550594351420348,-1.0373960535745357,1.5022443122570022
test,pr_mode_high,6256,-0.0014535055643403,0.910612404829384,-1.2429154299417449,1.520440810314162
test,tmean_mode_low,6256,-0.0068310652568314,0.9667692146371388,-1.986097807173768,1.2859568087335664
test,tmean_mode_mid,6256,0.0692399477075496,1.101022643861172,-1.7688055116914438,1.881697352759735
test,tmax_mode_low,6256,-0.0088369805879303,0.966630353178082,-1.9775259076866176,1.2766120423629732
test,tmax_mode_mid,6256,0.0725820051284775,1.1444654180418554,-1.8488174583679875,1.90173856316506
test,tmin_mode_low,6256,-0.002881711528692,0.9589024335657088,-1.972601451126146,1.259550062436949
test,tmin_mode_mid,6256,0.0533984937120293,1.0530139545284802,-1.6867961748556624,1.7759190187033729
test,et0_mode_low,6256,0.0138146353935405,0.9996874629179622,-1.650433211121467,1.6957606753001329
test,et0_mode_mid,6256,0.0555082229746745,1.1831273263826412,-2.041239759227517,1.8911913598207344
test,wind_mode_low,6256,0.1028453252350053,1.0855598515908524,-1.3715995034127857,2.154715046585234
test,wind_mode_mid,6256,0.0413568988954997,1.1111340766167053,-1.713195699933331,1.814417876018549
test,rad_net_mode_low,6256,0.0412832118098504,0.9303272645223783,-1.7717720414781846,1.5584273533403408
test,rad_net_mode_high,6256,0.0096790319038508,1.0357073146713558,-1.8799556583833017,1.663961548019716
test,rad_down_mode_low,6256,-0.0032286262991713,0.9662013785962836,-1.8122687943861655,1.6136201385708715
test,rad_down_mode_high,6256,0.0077998769672361,1.0260008815806942,-1.8552703572715723,1.6268693487851502
