feature,mean_abs_shap,model,target
pr_mode_low,0.11727650259776796,main_fusion_gradient_shap,idx_30
et0_mode_low,0.027399681213535393,main_fusion_gradient_shap,idx_30
pr,0.02650475014422521,main_fusion_gradient_shap,idx_30
rad_down_mode_low,0.01675273009655333,main_fusion_gradient_shap,idx_30
wind_mode_low,0.015830064599239056,main_fusion_gradient_shap,idx_30
et0_mode_mid,0.012535769172532303,main_fusion_gradient_shap,idx_30
tmin_mode_low,0.010012754684466016,main_fusion_gradient_shap,idx_30
et0,0.009375709468357703,main_fusion_gradient_shap,idx_30
tmean_mode_low,0.008499220125537816,main_fusion_gradient_shap,idx_30
wind,0.007498594634011884,main_fusion_gradient_shap,idx_30
rad_net_mode_low,0.0069326603620198535,main_fusion_gradient_shap,idx_30
tmax_mode_mid,0.006929846283373801,main_fusion_gradient_shap,idx_30
rad_down,0.005651763339697309,main_fusion_gradient_shap,idx_30
tmean,0.005316661830224191,main_fusion_gradient_shap,idx_30
tmax,0.004851486906014555,main_fusion_gradient_shap,idx_30
tmean_mode_mid,0.004825718534316255,main_fusion_gradient_shap,idx_30
tmax_mode_low,0.004137369333649669,main_fusion_gradient_shap,idx_30
tmin,0.004097834496209377,main_fusion_gradient_shap,idx_30
tmin_mode_mid,0.004014221780368024,main_fusion_gradient_shap,idx_30
wind_mode_mid,0.003364620310722931,main_fusion_gradient_shap,idx_30
rad_net,0.003049497543659617,main_fusion_gradient_shap,idx_30
rad_net_mode_high,0.0015920707541039099,main_fusion_gradient_shap,idx_30
rad_down_mode_high,0.0013201822375150977,main_fusion_gradient_shap,idx_30
pr_mode_high,0.001171015476197545,main_fusion_gradient_shap,idx_30
