date,station_slug,station_name,station_en,pr,tmean,tmax,tmin,et0,wind,rad_net,rad_down,runoff,longitude,latitude,year,surface_pressure_hpa,dewpoint,wind_v,wind_u
2010-01-01,ahai,阿海,Ahai,0.53,5.07,9.74,-0.35,2.8669200692737267,0.69,12645128.0,13990032.0,1008.6328,100.55,27.25,2010,742.96,-4.12,0.27,0.51
2010-01-02,ahai,阿海,Ahai,0.0,5.42,11.88,-1.0,3.3865290392137606,0.49,14700412.0,16262812.0,1000.71875,100.55,27.25,2010,746.11,-8.87,0.09,0.31
2010-01-03,ahai,阿海,Ahai,0.0,5.9,12.36,-1.24,3.5173470048035687,0.46,14958868.0,16548340.0,993.375,100.55,27.25,2010,743.86,-10.42,0.11,0.21
2010-01-04,ahai,阿海,Ahai,0.0,8.06,14.04,0.38,3.7821322727677327,0.76,14593172.0,16144228.0,986.22656,100.55,27.25,2010,738.59,-6.35,0.46,0.51
2010-01-05,ahai,阿海,Ahai,0.0,7.18,12.77,1.77,3.5174147565251057,0.65,14484258.0,16024600.0,978.84375,100.55,27.25,2010,741.18,-3.96,0.31,0.53
2010-01-06,ahai,阿海,Ahai,0.0,7.04,12.17,1.05,3.3213163304733166,0.8,13339886.0,14759632.0,971.34375,100.55,27.25,2010,744.04,-4.42,0.42,0.43
2010-01-07,ahai,阿海,Ahai,0.0,7.08,13.41,0.46,3.5584152678715486,0.5,14760630.0,16332968.0,963.90625,100.55,27.25,2010,746.56,-5.49,0.19,0.13
2010-01-08,ahai,阿海,Ahai,0.0,7.7,13.56,0.55,3.741815662887777,0.62,14945364.0,16538880.0,956.53125,100.55,27.25,2010,743.23,-6.08,0.29,0.4
2010-01-09,ahai,阿海,Ahai,0.0,7.03,12.91,1.1,3.5954252557183666,0.75,14758044.0,16333116.0,949.21875,100.55,27.25,2010,741.26,-4.47,0.17,0.69
2010-01-10,ahai,阿海,Ahai,0.0,7.55,12.99,0.61,3.557851754117724,0.6,14638608.0,16202428.0,942.0469,100.55,27.25,2010,741.84,-2.87,0.48,0.22
