date,station_slug,station_name,station_en,pr,tmean,tmax,tmin,et0,wind,rad_net,rad_down,runoff,longitude,latitude,year,surface_pressure_hpa,dewpoint,wind_v,wind_u
2010-01-01,batang,巴塘,Batang,1.53,-11.27,-4.03,-22.62,1.1075980414213284,0.72,3647060.0,12386536.0,698.375,99.05,29.85,2010,649.69,-14.84,-0.65,0.17
2010-01-02,batang,巴塘,Batang,0.02,-16.54,-7.65,-23.67,1.061947427067173,0.52,4637604.0,15496724.0,693.78125,99.05,29.85,2010,653.96,-24.01,-0.49,-0.04
2010-01-03,batang,巴塘,Batang,0.0,-15.58,-7.1,-24.35,1.2532209587958854,0.23,5110800.0,16734464.0,689.1875,99.05,29.85,2010,651.58,-27.5,-0.08,-0.08
2010-01-04,batang,巴塘,Batang,0.0,-11.99,-5.25,-20.88,1.5010823114501055,0.49,5123176.0,16440232.0,684.60156,99.05,29.85,2010,645.15,-21.42,0.43,-0.17
2010-01-05,batang,巴塘,Batang,0.02,-12.58,-3.12,-24.89,1.3328185732504765,0.47,4998740.0,15729080.0,680.0781,99.05,29.85,2010,648.49,-17.11,-0.19,-0.21
2010-01-06,batang,巴塘,Batang,0.02,-14.47,-5.67,-24.86,1.1799944430977471,0.43,5023870.0,15501912.0,675.59375,99.05,29.85,2010,650.99,-18.96,-0.19,-0.12
2010-01-07,batang,巴塘,Batang,0.01,-13.78,-4.92,-24.71,1.3139246421611606,0.37,5353382.0,16224560.0,671.1406,99.05,29.85,2010,653.72,-20.24,-0.27,-0.24
2010-01-08,batang,巴塘,Batang,0.0,-12.94,-5.56,-21.74,1.4218160997943583,0.37,5642972.0,16781332.0,666.6875,99.05,29.85,2010,650.03,-19.11,0.19,-0.21
2010-01-09,batang,巴塘,Batang,0.01,-10.61,-2.76,-17.95,1.5679150325803062,0.42,5659214.0,16528156.0,662.28125,99.05,29.85,2010,648.12,-15.03,0.26,-0.21
2010-01-10,batang,巴塘,Batang,0.09,-11.08,-2.58,-21.48,1.390767026258564,0.53,5366740.0,15405524.0,657.90625,99.05,29.85,2010,647.63,-14.33,0.43,-0.17
2010-01-11,batang,巴塘,Batang,0.33,-8.42,-0.64,-18.51,1.4304509042334934,0.46,4763092.0,13473580.0,653.5469,99.05,29.85,2010,647.48,-11.85,0.27,-0.07
2010-01-12,batang,巴塘,Batang,1.22,-6.27,-0.96,-16.12,1.3694289973445288,0.51,4107014.0,11581524.0,649.2656,99.05,29.85,2010,647.57,-9.34,0.39,-0.01
2010-01-13,batang,巴塘,Batang,0.56,-7.11,-0.56,-15.93,1.254689006791844,0.42,3869374.0,10980368.0,645.1094,99.05,29.85,2010,650.55,-9.98,0.1,-0.05
2010-01-14,batang,巴塘,Batang,0.36,-5.84,0.82,-16.12,1.6051459257920482,0.78,4914328.0,13612440.0,640.875,99.05,29.85,2010,649.93,-9.44,0.69,-0.17
2010-01-15,batang,巴塘,Batang,1.0,-7.7,-0.73,-17.8,1.7457767590677788,0.45,5654096.0,15706060.0,636.7344,99.05,29.85,2010,654.39,-12.48,-0.31,-0.22
2010-01-16,batang,巴塘,Batang,0.01,-10.55,-1.69,-21.31,1.5678959489323985,0.47,6040410.0,16413360.0,632.5781,99.05,29.85,2010,656.56,-15.78,-0.39,-0.17
2010-01-17,batang,巴塘,Batang,0.0,-9.66,-2.14,-18.68,1.7980944704767567,0.4,6539100.0,17474172.0,628.4531,99.05,29.85,2010,655.65,-18.02,-0.13,-0.25
2010-01-18,batang,巴塘,Batang,0.0,-6.75,0.74,-15.3,2.060627164316084,0.69,6671360.0,17526468.0,624.3594,99.05,29.85,2010,651.91,-14.35,0.55,-0.38
2010-01-19,batang,巴塘,Batang,0.0,-5.39,1.29,-13.0,2.0629179557446338,1.01,6445846.0,16514788.0,620.2656,99.05,29.85,2010,650.02,-12.61,0.94,-0.34
2010-01-20,batang,巴塘,Batang,0.01,-6.38,1.1,-13.8,2.0437484419421508,0.8,6773902.0,16939656.0,616.1875,99.05,29.85,2010,652.01,-14.5,0.61,0.06
2010-01-21,batang,巴塘,Batang,0.0,-6.1,0.72,-15.6,2.142006326400724,0.89,7261284.0,17749020.0,612.1406,99.05,29.85,2010,650.95,-13.87,0.76,-0.37
2010-01-22,batang,巴塘,Batang,0.02,-5.75,1.76,-13.84,2.150305143376823,1.1,7320444.0,17510680.0,608.125,99.05,29.85,2010,650.11,-13.77,0.99,-0.11
2010-01-23,batang,巴塘,Batang,0.0,-6.04,1.16,-16.66,2.0441925979720788,1.12,7376392.0,17286864.0,604.1406,99.05,29.85,2010,649.13,-12.67,0.98,-0.32
2010-01-24,batang,巴塘,Batang,0.19,-6.3,0.7,-15.25,1.9850978744683767,0.8,7288084.0,16769672.0,600.1406,99.05,29.85,2010,650.4,-12.65,0.66,-0.22
2010-01-25,batang,巴塘,Batang,0.25,-5.89,0.83,-16.69,1.720547162865988,1.24,6375404.0,14532780.0,596.125,99.05,29.85,2010,649.97,-11.18,1.12,-0.28
2010-01-26,batang,巴塘,Batang,0.25,-6.01,0.61,-11.85,1.957235966063248,1.03,6807536.0,15398444.0,592.1406,99.05,29.85,2010,647.34,-15.47,0.89,0.13
2010-01-27,batang,巴塘,Batang,0.14,-6.34,0.64,-13.0,2.06655159916506,0.72,7440228.0,16694682.0,588.1719,99.05,29.85,2010,649.05,-16.28,0.59,-0.15
2010-01-28,batang,巴塘,Batang,0.09,-5.65,2.41,-14.23,2.158823825189968,0.89,8066376.0,17818512.0,584.2031,99.05,29.85,2010,649.37,-12.17,0.77,-0.33
2010-01-29,batang,巴塘,Batang,1.38,-4.45,1.85,-12.55,1.847238501457476,0.92,7213770.0,14834964.0,580.25,99.05,29.85,2010,648.17,-8.29,0.71,-0.48
2010-01-30,batang,巴塘,Batang,1.35,-3.41,2.07,-9.27,2.0312541530136627,1.2,7392518.0,14969128.0,576.3906,99.05,29.85,2010,645.83,-9.38,1.14,-0.01
2010-01-31,batang,巴塘,Batang,0.5,-5.32,1.76,-14.62,2.1882653233753704,0.97,9148066.0,17683040.0,572.7656,99.05,29.85,2010,647.68,-12.31,0.82,-0.18
2010-02-01,batang,巴塘,Batang,0.65,-4.52,1.71,-13.69,1.9535260689113656,1.38,8564292.0,15681896.0,568.6875,99.05,29.85,2010,645.19,-9.85,1.3,-0.14
