date,station_slug,station_name,station_en,pr,tmean,tmax,tmin,et0,wind,rad_net,rad_down,runoff,longitude,latitude,year,surface_pressure_hpa,dewpoint,wind_v,wind_u
2010-01-01,gangtuo,岗拖,Gangtuo,0.17,-18.36,-11.04,-29.12,0.7701253796455345,0.76,4012378.0,13767040.0,532.3203,98.55,31.65,2010,626.12,-21.16,-0.58,0.42
2010-01-02,gangtuo,岗拖,Gangtuo,0.08,-22.06,-15.32,-29.4,0.6595437975630741,0.51,4322988.0,14589064.0,529.27344,98.55,31.65,2010,629.47,-25.31,-0.34,0.29
2010-01-03,gangtuo,岗拖,Gangtuo,0.0,-21.0,-14.19,-28.9,0.7781970372040853,0.39,4778580.0,15720868.0,526.2344,98.55,31.65,2010,626.91,-24.38,-0.31,0.04
2010-01-04,gangtuo,岗拖,Gangtuo,0.23,-16.67,-12.04,-24.53,1.0431902805656996,0.42,4874328.0,15625572.0,523.2031,98.55,31.65,2010,620.34,-21.58,-0.34,0.14
2010-01-05,gangtuo,岗拖,Gangtuo,0.68,-15.03,-7.29,-28.52,0.9342874813983272,0.63,3951728.0,12865480.0,520.1875,98.55,31.65,2010,624.54,-19.09,-0.48,0.35
2010-01-06,gangtuo,岗拖,Gangtuo,0.11,-20.88,-13.8,-28.82,0.6664369953803277,0.6,4267724.0,13799248.0,517.2031,98.55,31.65,2010,627.05,-23.75,-0.5,0.24
2010-01-07,gangtuo,岗拖,Gangtuo,0.01,-19.01,-12.98,-25.06,0.8874154165673334,0.42,4983180.0,15739068.0,514.2344,98.55,31.65,2010,629.17,-22.38,-0.22,0.04
2010-01-08,gangtuo,岗拖,Gangtuo,0.03,-21.56,-15.08,-27.64,0.7191958076037359,0.52,5042908.0,15549200.0,511.29688,98.55,31.65,2010,625.58,-24.31,-0.4,0.04
2010-01-09,gangtuo,岗拖,Gangtuo,0.0,-15.95,-9.98,-21.95,1.0858900113986905,0.38,5209406.0,15699548.0,508.375,98.55,31.65,2010,623.68,-19.41,-0.22,0.01
2010-01-10,gangtuo,岗拖,Gangtuo,0.05,-16.24,-8.61,-25.26,0.9942885200929438,0.47,5066460.0,14934820.0,505.51562,98.55,31.65,2010,622.78,-18.99,-0.35,0.15
2010-01-11,gangtuo,岗拖,Gangtuo,0.14,-18.36,-8.71,-28.07,0.7786584062647112,0.73,4773410.0,13821784.0,502.67188,98.55,31.65,2010,623.99,-21.3,-0.61,0.2
2010-01-12,gangtuo,岗拖,Gangtuo,0.08,-19.92,-11.82,-29.55,0.768206269738937,0.52,5139738.0,14647124.0,499.85938,98.55,31.65,2010,624.6,-23.29,-0.45,0.2
2010-01-13,gangtuo,岗拖,Gangtuo,0.08,-19.82,-11.71,-29.05,0.7780699836805015,0.49,5253000.0,14710712.0,497.0625,98.55,31.65,2010,627.34,-23.02,-0.35,0.16
2010-01-14,gangtuo,岗拖,Gangtuo,1.34,-14.97,-9.55,-25.6,0.949319973559174,0.55,4765218.0,13153676.0,494.26562,98.55,31.65,2010,626.21,-18.11,-0.3,0.09
2010-01-15,gangtuo,岗拖,Gangtuo,0.2,-16.35,-8.32,-23.38,0.9855081895836204,0.64,5268526.0,15476132.0,491.46875,98.55,31.65,2010,630.72,-18.58,-0.48,-0.13
2010-01-16,gangtuo,岗拖,Gangtuo,0.08,-17.86,-9.9,-27.98,0.8787820943817416,0.53,5050104.0,14704540.0,488.70312,98.55,31.65,2010,632.74,-20.9,-0.22,0.23
2010-01-17,gangtuo,岗拖,Gangtuo,0.1,-19.22,-11.88,-30.19,0.8615120967985272,0.38,5386994.0,15430088.0,485.9375,98.55,31.65,2010,631.58,-22.33,-0.24,0.08
2010-01-18,gangtuo,岗拖,Gangtuo,0.03,-15.68,-8.48,-26.88,1.1312577122054237,0.43,5763712.0,16188416.0,483.17188,98.55,31.65,2010,627.43,-19.32,-0.3,0.06
2010-01-19,gangtuo,岗拖,Gangtuo,0.01,-12.9,-6.97,-21.74,1.3173084500178116,0.5,5857340.0,16099840.0,480.40625,98.55,31.65,2010,624.33,-16.47,-0.11,-0.39
2010-01-20,gangtuo,岗拖,Gangtuo,0.1,-10.37,-3.52,-18.51,1.5204118736578682,0.44,5705566.0,15365192.0,477.64062,98.55,31.65,2010,626.76,-17.52,0.06,0.25
2010-01-21,gangtuo,岗拖,Gangtuo,0.01,-13.53,-6.9,-20.32,1.324235383147031,0.48,6355172.0,16764720.0,474.875,98.55,31.65,2010,626.43,-17.21,-0.26,-0.06
2010-01-22,gangtuo,岗拖,Gangtuo,0.98,-12.29,-7.14,-22.39,1.3344885608935504,0.38,6015598.0,15556840.0,472.07812,98.55,31.65,2010,625.73,-15.35,-0.14,0.08
2010-01-23,gangtuo,岗拖,Gangtuo,0.2,-14.83,-9.26,-24.45,1.1440963074829542,0.43,5786292.0,15700764.0,469.28125,98.55,31.65,2010,624.69,-17.47,-0.19,0.03
2010-01-24,gangtuo,岗拖,Gangtuo,0.16,-13.0,-5.5,-21.14,1.2702960340322549,0.56,5923838.0,15837832.0,466.5,98.55,31.65,2010,625.81,-16.08,-0.2,-0.17
2010-01-25,gangtuo,岗拖,Gangtuo,1.12,-13.86,-8.39,-21.54,1.1664631218517925,0.46,5701104.0,15066888.0,463.70312,98.55,31.65,2010,625.14,-16.88,-0.1,-0.24
2010-01-26,gangtuo,岗拖,Gangtuo,1.13,-12.5,-5.49,-22.35,1.303019321236926,0.51,5638494.0,15694900.0,460.89062,98.55,31.65,2010,622.81,-15.43,-0.19,-0.17
2010-01-27,gangtuo,岗拖,Gangtuo,0.08,-15.85,-8.04,-27.14,1.0962708153886869,0.62,5712894.0,16528214.0,458.07812,98.55,31.65,2010,624.25,-18.59,-0.29,-0.33
2010-01-28,gangtuo,岗拖,Gangtuo,0.06,-17.11,-9.15,-27.74,1.0355583790054137,0.54,5864304.0,16649792.0,455.25,98.55,31.65,2010,625.53,-20.09,-0.42,0.12
