date,station_slug,station_name,station_en,pr,tmean,tmax,tmin,et0,wind,rad_net,rad_down,runoff,longitude,latitude,year,surface_pressure_hpa,dewpoint,wind_v,wind_u
2010-01-01,huatan,华弹,Huatan,0.03,13.66,19.93,4.57,4.000071620047018,0.77,12500150.0,14179060.0,2135.7266,102.95,26.85,2010,858.26,-0.37,0.14,0.24
2010-01-02,huatan,华弹,Huatan,0.0,14.06,19.76,7.74,4.307927852732789,0.59,13838108.0,15696216.0,2110.5547,102.95,26.85,2010,861.3,-1.06,0.28,0.27
2010-01-03,huatan,华弹,Huatan,0.0,14.45,20.78,7.94,4.6698271825282,0.82,14126600.0,16023160.0,2086.586,102.95,26.85,2010,858.32,-3.47,0.54,0.53
2010-01-04,huatan,华弹,Huatan,0.02,15.45,22.18,6.84,4.818973099211166,0.98,14039150.0,15923868.0,2064.3672,102.95,26.85,2010,853.09,-0.84,0.25,0.06
2010-01-05,huatan,华弹,Huatan,0.01,7.48,14.66,2.48,3.2255280847800174,1.13,12620996.0,14314296.0,2043.9375,102.95,26.85,2010,859.33,-1.08,-0.59,-0.95
2010-01-06,huatan,华弹,Huatan,0.0,13.3,19.4,2.7,4.055151871005512,0.65,13411164.0,15211344.0,2024.6094,102.95,26.85,2010,859.99,1.21,0.4,0.08
2010-01-07,huatan,华弹,Huatan,0.0,13.96,20.3,7.27,4.13419791049027,0.52,13744934.0,15589504.0,2005.7812,102.95,26.85,2010,862.52,2.19,-0.08,-0.31
2010-01-08,huatan,华弹,Huatan,0.0,15.67,21.7,6.74,4.771014449890465,0.99,14029652.0,15912244.0,1987.8438,102.95,26.85,2010,857.33,1.09,0.7,0.61
2010-01-09,huatan,华弹,Huatan,0.0,15.3,21.19,6.6,5.0300413212765855,1.17,14379748.0,16309212.0,1970.9062,102.95,26.85,2010,855.38,-1.36,0.31,0.3
2010-01-10,huatan,华弹,Huatan,0.01,9.54,16.36,3.52,3.6338962358479066,0.95,13354490.0,15145988.0,1954.2969,102.95,26.85,2010,860.03,-0.13,-0.34,-0.78
2010-01-11,huatan,华弹,Huatan,0.15,7.16,13.05,1.75,2.2978550211434983,1.36,8318710.0,9436392.0,1937.6875,102.95,26.85,2010,863.95,0.01,-0.34,-1.3
2010-01-12,huatan,华弹,Huatan,0.17,6.51,9.11,1.78,1.6052218326934875,0.66,5476506.0,6281108.0,1921.7031,102.95,26.85,2010,864.58,-2.94,-0.01,-0.57
2010-01-13,huatan,华弹,Huatan,0.01,10.33,14.59,4.96,2.677253821870984,0.52,9407532.0,10763252.0,1906.8281,102.95,26.85,2010,864.28,0.74,0.03,-0.24
