date,station_slug,station_name,station_en,pr,tmean,tmax,tmin,et0,wind,rad_net,rad_down,runoff,longitude,latitude,year,surface_pressure_hpa,dewpoint,wind_v,wind_u
2010-01-01,jinjiangjie,金江街,Jinjiangjie,0.01,11.91,17.43,5.87,3.73829229056231,0.94,11523416.0,13209868.0,1061.0703,100.55,26.15,2010,821.29,-2.86,0.61,0.38
2010-01-02,jinjiangjie,金江街,Jinjiangjie,0.0,11.63,18.28,4.39,4.133637912138608,0.47,14208314.0,16288104.0,1052.3359,100.55,26.15,2010,824.0,-5.01,0.06,0.12
2010-01-03,jinjiangjie,金江街,Jinjiangjie,0.0,12.15,19.09,3.82,4.2756387413180885,0.4,14501608.0,16624896.0,1043.9688,100.55,26.15,2010,821.68,-8.25,0.25,0.06
2010-01-04,jinjiangjie,金江街,Jinjiangjie,0.0,13.48,20.15,5.66,4.7062236213157815,1.0,14252480.0,16339788.0,1035.8594,100.55,26.15,2010,816.78,-3.44,0.91,0.34
2010-01-05,jinjiangjie,金江街,Jinjiangjie,0.0,13.32,19.91,6.65,4.48967744899108,0.85,14122914.0,16191768.0,1028.0938,100.55,26.15,2010,819.11,-1.67,0.72,0.3
2010-01-06,jinjiangjie,金江街,Jinjiangjie,0.0,12.93,18.85,6.09,4.373721350889663,0.77,14083250.0,16146736.0,1020.40625,100.55,26.15,2010,822.38,-1.65,0.67,0.19
2010-01-07,jinjiangjie,金江街,Jinjiangjie,0.0,13.03,19.58,6.46,4.23642653706666,0.39,14298244.0,16393812.0,1012.7031,100.55,26.15,2010,824.47,-2.43,0.19,0.03
2010-01-08,jinjiangjie,金江街,Jinjiangjie,0.0,13.55,20.02,5.98,4.578821772118172,0.79,14396562.0,16507052.0,1004.875,100.55,26.15,2010,821.38,-2.2,0.69,0.25
2010-01-09,jinjiangjie,金江街,Jinjiangjie,0.0,13.41,20.02,6.88,4.770985725881144,0.91,14585274.0,16723960.0,996.9219,100.55,26.15,2010,819.34,-4.86,0.68,0.55
2010-01-10,jinjiangjie,金江街,Jinjiangjie,0.0,13.28,19.46,6.43,4.582212953929318,0.78,14522592.0,16652628.0,989.1406,100.55,26.15,2010,820.1,-2.76,0.66,0.28
2010-01-11,jinjiangjie,金江街,Jinjiangjie,0.0,12.85,18.18,6.89,4.012159661492325,0.8,12768772.0,14641720.0,981.7031,100.55,26.15,2010,821.28,-0.63,0.71,0.17
2010-01-12,jinjiangjie,金江街,Jinjiangjie,0.0,12.6,18.43,6.19,4.030172850157813,1.07,12340828.0,14151056.0,974.6094,100.55,26.15,2010,822.25,-1.04,0.68,0.12
2010-01-13,jinjiangjie,金江街,Jinjiangjie,0.0,12.41,18.35,5.67,3.900194193910255,0.56,13175396.0,15108780.0,967.75,100.55,26.15,2010,824.45,0.2,0.29,-0.09
2010-01-14,jinjiangjie,金江街,Jinjiangjie,0.0,14.88,21.16,6.57,4.553062939702084,1.02,13534530.0,15521488.0,960.5781,100.55,26.15,2010,823.48,1.39,0.87,0.43
2010-01-15,jinjiangjie,金江街,Jinjiangjie,0.03,14.11,20.85,7.17,4.18747769533531,0.6,13236038.0,15180024.0,953.5625,100.55,26.15,2010,826.67,-0.54,0.24,0.21
2010-01-16,jinjiangjie,金江街,Jinjiangjie,0.0,14.2,20.67,6.62,4.644587007071842,0.69,14837266.0,17020776.0,946.9375,100.55,26.15,2010,827.65,0.41,0.53,0.07
2010-01-17,jinjiangjie,金江街,Jinjiangjie,0.0,14.77,21.61,6.99,4.638334766264314,0.43,14983094.0,17192736.0,940.4844,100.55,26.15,2010,827.37,-0.75,0.32,0.03
2010-01-18,jinjiangjie,金江街,Jinjiangjie,0.0,15.46,22.33,7.63,5.024588400617497,0.76,15138796.0,17376156.0,933.875,100.55,26.15,2010,824.08,-1.41,0.66,0.22
2010-01-19,jinjiangjie,金江街,Jinjiangjie,0.0,15.61,22.27,8.29,4.9209212494722285,0.71,14703026.0,16880612.0,927.0625,100.55,26.15,2010,823.07,-2.27,0.6,0.21
2010-01-20,jinjiangjie,金江街,Jinjiangjie,0.0,15.19,21.88,7.85,5.110767837980143,0.82,15223952.0,17483432.0,920.1406,100.55,26.15,2010,824.75,-3.29,0.66,0.26
2010-01-21,jinjiangjie,金江街,Jinjiangjie,0.0,14.86,21.74,7.02,5.0283864783809324,0.57,15639186.0,17965192.0,913.28125,100.55,26.15,2010,824.22,-5.16,0.42,0.06
2010-01-22,jinjiangjie,金江街,Jinjiangjie,0.0,14.77,21.36,7.26,5.273331670137472,0.83,15684766.0,18022492.0,906.5469,100.55,26.15,2010,824.2,-6.75,0.73,0.21
2010-01-23,jinjiangjie,金江街,Jinjiangjie,0.0,14.44,20.82,6.81,5.251249023849367,0.89,15725898.0,18074696.0,899.9531,100.55,26.15,2010,823.63,-5.78,0.81,0.23
2010-01-24,jinjiangjie,金江街,Jinjiangjie,0.0,14.24,21.0,6.92,5.2522279940336265,0.83,15876840.0,18253168.0,893.3594,100.55,26.15,2010,824.3,-7.2,0.62,0.38
2010-01-25,jinjiangjie,金江街,Jinjiangjie,0.0,14.86,21.12,6.17,5.317996930725032,0.81,15714282.0,18071212.0,886.625,100.55,26.15,2010,824.59,-8.25,0.74,0.09
2010-01-26,jinjiangjie,金江街,Jinjiangjie,0.1,12.41,18.15,7.17,4.070292138957436,1.18,12886478.0,14823584.0,879.96875,100.55,26.15,2010,823.16,1.02,1.0,0.5
2010-01-27,jinjiangjie,金江街,Jinjiangjie,0.01,12.51,18.88,6.19,4.244840495240265,0.9,13413796.0,15434418.0,873.5156,100.55,26.15,2010,823.51,-2.13,0.51,0.62
2010-01-28,jinjiangjie,金江街,Jinjiangjie,0.0,13.73,20.7,5.67,5.156875056919349,0.89,16128108.0,18562344.0,867.0469,100.55,26.15,2010,822.8,-3.21,0.75,0.34
2010-01-29,jinjiangjie,金江街,Jinjiangjie,0.0,14.25,21.27,6.69,5.378309513757646,1.0,16267490.0,18727900.0,860.59375,100.55,26.15,2010,821.57,-3.95,0.9,0.29
2010-01-30,jinjiangjie,金江街,Jinjiangjie,0.0,13.93,20.5,7.06,5.507720965938519,1.21,16354624.0,18833372.0,854.1719,100.55,26.15,2010,821.05,-4.87,1.06,0.47
2010-01-31,jinjiangjie,金江街,Jinjiangjie,0.0,13.87,20.1,6.95,5.303194495259415,0.96,16352360.0,18835904.0,847.8281,100.55,26.15,2010,822.27,-3.77,0.76,0.45
2010-02-01,jinjiangjie,金江街,Jinjiangjie,0.0,14.34,20.49,7.24,5.577924861367153,1.16,16421538.0,18920796.0,841.4531,100.55,26.15,2010,820.63,-4.98,1.01,0.47
2010-02-02,jinjiangjie,金江街,Jinjiangjie,0.0,14.35,20.66,7.66,5.6805117059478185,1.25,16615724.0,19149804.0,835.1875,100.55,26.15,2010,820.13,-4.85,1.09,0.49
2010-02-03,jinjiangjie,金江街,Jinjiangjie,0.0,14.26,20.36,7.34,5.680877869320554,1.26,16724376.0,19280288.0,829.28125,100.55,26.15,2010,820.39,-4.48,1.12,0.51
2010-02-04,jinjiangjie,金江街,Jinjiangjie,0.0,14.14,19.95,7.62,5.602500329305184,1.25,16535804.0,19068184.0,823.7969,100.55,26.15,2010,820.86,-4.4,1.05,0.58
2010-02-05,jinjiangjie,金江街,Jinjiangjie,0.0,14.08,20.1,7.21,5.683985806894118,1.35,16487162.0,19017208.0,818.4219,100.55,26.15,2010,820.73,-5.41,1.13,0.69
2010-02-06,jinjiangjie,金江街,Jinjiangjie,0.0,13.46,20.19,6.58,5.250307708142974,0.67,16729302.0,19301884.0,813.25,100.55,26.15,2010,823.12,-7.46,0.17,0.44
2010-02-07,jinjiangjie,金江街,Jinjiangjie,0.0,14.55,21.87,5.84,5.685393658243608,0.77,17449616.0,20138456.0,808.21875,100.55,26.15,2010,822.19,-7.28,0.62,0.16
2010-02-08,jinjiangjie,金江街,Jinjiangjie,0.0,15.08,22.21,7.09,5.89577925443681,0.97,17405138.0,20092636.0,803.09375,100.55,26.15,2010,819.39,-6.54,0.84,0.32
2010-02-09,jinjiangjie,金江街,Jinjiangjie,0.0,15.99,22.88,7.72,6.018682945863652,1.15,17265024.0,19936372.0,797.46875,100.55,26.15,2010,818.54,-2.71,0.96,0.58
2010-02-10,jinjiangjie,金江街,Jinjiangjie,0.0,15.95,22.76,8.85,5.60629573980389,1.45,15493126.0,17895384.0,791.40625,100.55,26.15,2010,820.25,-0.1,0.75,1.12
2010-02-11,jinjiangjie,金江街,Jinjiangjie,0.0,15.71,23.0,8.22,5.789745324825606,1.07,17077902.0,19731096.0,784.90625,100.55,26.15,2010,822.73,-0.93,0.51,0.86
2010-02-12,jinjiangjie,金江街,Jinjiangjie,0.0,15.88,22.39,7.86,6.083646744061372,1.23,17593684.0,20332604.0,778.1875,100.55,26.15,2010,821.42,-1.57,1.13,0.3
2010-02-13,jinjiangjie,金江街,Jinjiangjie,0.0,15.81,22.01,9.56,6.266715601260834,1.66,17592182.0,20336478.0,772.03125,100.55,26.15,2010,818.67,-0.88,1.22,1.05
2010-02-14,jinjiangjie,金江街,Jinjiangjie,0.0,15.72,22.21,9.38,5.920630219704237,1.62,16514768.0,19096596.0,767.28125,100.55,26.15,2010,818.76,-0.28,1.31,0.87
2010-02-15,jinjiangjie,金江街,Jinjiangjie,0.0,15.59,22.25,9.4,5.67777004982646,1.52,15574260.0,18013912.0,764.21875,100.55,26.15,2010,820.82,-1.42,0.97,1.09
2010-02-16,jinjiangjie,金江街,Jinjiangjie,0.0,15.83,21.81,8.91,5.8403289173103685,1.57,15933156.0,18432224.0,762.5625,100.55,26.15,2010,820.77,-1.29,1.03,1.1
