date,station_slug,station_name,station_en,pr,tmean,tmax,tmin,et0,wind,rad_net,rad_down,runoff,longitude,latitude,year,surface_pressure_hpa,dewpoint,wind_v,wind_u
2010-01-01,panzhihua,攀枝花,Panzhihua,0.0,14.3,20.38,7.97,4.373965976601683,0.98,12939888.0,14403424.0,1848.7422,101.75,26.55,2010,850.2,-2.73,0.37,0.53
2010-01-02,panzhihua,攀枝花,Panzhihua,0.0,13.05,19.27,6.51,4.242076354024372,0.58,14288202.0,15904728.0,1829.8281,101.75,26.55,2010,853.61,-2.16,0.03,-0.08
2010-01-03,panzhihua,攀枝花,Panzhihua,0.0,12.61,19.38,5.48,4.266561751246466,0.5,14620044.0,16274140.0,1812.6328,101.75,26.55,2010,851.22,-4.41,0.07,-0.21
2010-01-04,panzhihua,攀枝花,Panzhihua,0.0,14.03,20.31,6.38,4.542513394657492,0.76,14373738.0,16000048.0,1795.875,101.75,26.55,2010,845.51,-2.93,0.41,-0.43
2010-01-05,panzhihua,攀枝花,Panzhihua,0.0,14.48,21.25,8.04,4.60607597759422,0.84,14382426.0,16009812.0,1779.5312,101.75,26.55,2010,848.35,-1.19,0.14,-0.37
2010-01-06,panzhihua,攀枝花,Panzhihua,0.0,12.74,18.85,7.13,4.08655192768413,0.63,14080998.0,15674388.0,1764.3594,101.75,26.55,2010,852.06,0.73,-0.22,-0.35
2010-01-07,panzhihua,攀枝花,Panzhihua,0.0,13.81,20.28,7.12,4.284889013712829,0.56,14390038.0,16018300.0,1749.9688,101.75,26.55,2010,854.29,0.5,-0.03,-0.08
2010-01-08,panzhihua,攀枝花,Panzhihua,0.0,14.28,20.78,7.67,4.465084157272786,0.64,14545734.0,16191684.0,1735.375,101.75,26.55,2010,850.25,-0.42,0.2,-0.15
2010-01-09,panzhihua,攀枝花,Panzhihua,0.0,15.35,22.05,7.0,5.148094625930104,1.13,14736000.0,16403564.0,1720.2812,101.75,26.55,2010,847.62,-4.01,0.8,0.26
2010-01-10,panzhihua,攀枝花,Panzhihua,0.0,14.15,20.26,7.84,4.593471456050255,0.74,14719378.0,16385104.0,1705.375,101.75,26.55,2010,849.55,-1.67,0.13,-0.55
2010-01-11,panzhihua,攀枝花,Panzhihua,0.0,11.27,17.08,5.2,3.906203100070201,1.26,13204836.0,14699728.0,1691.625,101.75,26.55,2010,852.39,0.42,-0.42,-1.1
2010-01-12,panzhihua,攀枝花,Panzhihua,0.04,7.69,10.48,4.33,1.736942139040936,0.95,5864742.0,6527500.0,1679.8906,101.75,26.55,2010,855.3,0.22,-0.39,-0.79
2010-01-13,panzhihua,攀枝花,Panzhihua,0.0,10.28,14.84,4.3,2.6494801970932955,0.57,9694558.0,10791592.0,1669.4062,101.75,26.55,2010,856.07,2.1,-0.21,-0.37
2010-01-14,panzhihua,攀枝花,Panzhihua,0.01,13.31,19.71,7.13,3.305680994876728,0.73,11086620.0,12340716.0,1658.8906,101.75,26.55,2010,852.96,4.62,0.11,-0.18
2010-01-15,panzhihua,攀枝花,Panzhihua,0.05,14.52,21.33,7.58,4.383465651621365,0.88,14193518.0,15799676.0,1647.1094,101.75,26.55,2010,856.65,3.36,-0.07,-0.35
2010-01-16,panzhihua,攀枝花,Panzhihua,0.0,13.88,20.39,7.04,4.273518948079759,0.74,14422122.0,16056388.0,1634.25,101.75,26.55,2010,857.89,3.54,-0.06,-0.3
2010-01-17,panzhihua,攀枝花,Panzhihua,0.0,15.06,21.63,8.5,4.515547761473536,0.5,15031056.0,16736840.0,1620.9062,101.75,26.55,2010,857.38,3.02,0.09,-0.22
2010-01-18,panzhihua,攀枝花,Panzhihua,0.0,15.77,22.61,9.0,4.749092934943239,0.67,15209040.0,16937384.0,1606.8594,101.75,26.55,2010,853.0,3.16,0.26,-0.2
2010-01-19,panzhihua,攀枝花,Panzhihua,0.0,16.59,23.63,9.07,4.878320409597759,0.69,15016926.0,16725836.0,1592.3281,101.75,26.55,2010,851.8,1.91,0.24,-0.11
2010-01-20,panzhihua,攀枝花,Panzhihua,0.0,17.35,24.54,10.17,5.14430182575925,0.9,14583900.0,16245340.0,1578.4531,101.75,26.55,2010,853.49,-1.08,0.57,0.26
2010-01-21,panzhihua,攀枝花,Panzhihua,0.0,15.85,22.67,8.98,4.95844730749434,0.56,15756042.0,17553872.0,1566.5938,101.75,26.55,2010,853.52,-0.62,0.1,-0.16
2010-01-22,panzhihua,攀枝花,Panzhihua,0.0,16.35,23.1,9.39,5.234095602732879,0.7,15942684.0,17764288.0,1556.7969,101.75,26.55,2010,853.15,-2.34,0.39,-0.05
2010-01-23,panzhihua,攀枝花,Panzhihua,0.0,16.23,22.93,8.87,5.235319899186711,0.69,15934426.0,17757544.0,1547.8594,101.75,26.55,2010,852.42,-3.42,0.42,0.14
2010-01-24,panzhihua,攀枝花,Panzhihua,0.0,16.43,23.61,8.85,5.852437842557273,1.24,16120538.0,17967440.0,1538.4531,101.75,26.55,2010,852.86,-6.0,0.7,0.58
2010-01-25,panzhihua,攀枝花,Panzhihua,0.0,15.29,21.9,8.63,5.044444497719887,0.57,15996942.0,17832244.0,1528.0312,101.75,26.55,2010,854.0,-4.52,0.14,-0.22
2010-01-26,panzhihua,攀枝花,Panzhihua,0.06,15.0,21.59,8.23,4.699003357228032,1.51,13592074.0,15153164.0,1516.4219,101.75,26.55,2010,851.65,2.13,1.13,0.59
