date,station_slug,station_name,station_en,pr,tmean,tmax,tmin,et0,wind,rad_net,rad_down,runoff,longitude,latitude,year,surface_pressure_hpa,dewpoint,wind_v,wind_u
2010-01-01,pingshan,屏山,Pingshan,0.0,6.13,10.77,1.46,2.306197031955972,0.86,10606750.0,11651972.0,2460.625,104.15,28.65,2010,928.41,2.41,0.0,-0.07
2010-01-02,pingshan,屏山,Pingshan,0.06,5.99,10.73,1.13,2.111857428108302,1.21,9968918.0,10944720.0,2428.4219,104.15,28.65,2010,929.5,2.89,0.12,-0.09
2010-01-03,pingshan,屏山,Pingshan,0.75,7.49,12.1,0.81,2.6610099554984497,1.01,12317880.0,13518880.0,2397.0234,104.15,28.65,2010,924.48,4.84,-0.7,-0.22
2010-01-04,pingshan,屏山,Pingshan,1.83,6.28,7.68,5.08,0.6038557063940585,0.66,2482586.0,2724840.0,2368.7656,104.15,28.65,2010,925.35,4.46,-0.51,0.04
2010-01-05,pingshan,屏山,Pingshan,0.21,6.39,9.5,2.72,1.3426661679042922,0.95,5665046.0,6216456.0,2346.5938,104.15,28.65,2010,929.12,3.14,-0.38,0.44
2010-01-06,pingshan,屏山,Pingshan,1.2,7.12,10.72,2.31,1.9192256049253067,0.91,8631534.0,9470096.0,2324.2031,104.15,28.65,2010,930.37,4.41,-0.55,-0.33
2010-01-07,pingshan,屏山,Pingshan,0.24,6.17,8.96,2.96,0.8753080283146828,0.63,3816206.0,4187024.0,2299.7812,104.15,28.65,2010,932.33,4.16,0.06,-0.12
2010-01-08,pingshan,屏山,Pingshan,0.91,6.61,9.78,2.82,1.5901323822309783,0.91,7269712.0,7975500.0,2274.6875,104.15,28.65,2010,924.92,4.34,-0.59,0.11
2010-01-09,pingshan,屏山,Pingshan,0.99,6.83,8.1,5.57,0.7080284067572878,0.72,2878134.0,3158068.0,2251.0625,104.15,28.65,2010,926.72,4.86,-0.27,0.16
2010-01-10,pingshan,屏山,Pingshan,5.64,7.65,10.21,5.47,1.317806123864436,0.98,5468472.0,6000584.0,2232.5469,104.15,28.65,2010,931.2,4.99,-0.7,0.21
2010-01-11,pingshan,屏山,Pingshan,1.96,4.88,6.64,2.8,1.062905690970705,1.5,4314972.0,4733960.0,2220.0781,104.15,28.65,2010,937.08,1.8,-1.07,0.85
