date,station_slug,station_name,station_en,pr,tmean,tmax,tmin,et0,wind,rad_net,rad_down,runoff,longitude,latitude,year,surface_pressure_hpa,dewpoint,wind_v,wind_u
2010-01-01,shigu,石鼓,Shigu,0.18,5.36,10.9,0.66,2.9410525918150783,1.35,12547762.0,13962296.0,881.10156,99.95,26.95,2010,755.68,-2.81,-0.37,1.24
2010-01-02,shigu,石鼓,Shigu,0.0,5.01,12.68,-1.9,3.521746266801516,1.16,14908116.0,16590956.0,875.53125,99.95,26.95,2010,758.72,-7.42,-0.62,0.93
2010-01-03,shigu,石鼓,Shigu,0.0,5.91,13.69,-1.88,3.8227317387067767,1.22,15023960.0,16720980.0,869.28906,99.95,26.95,2010,756.61,-9.99,-0.6,1.03
2010-01-04,shigu,石鼓,Shigu,0.0,7.21,15.2,-0.74,3.787456743917648,1.47,14695128.0,16356760.0,862.5078,99.95,26.95,2010,751.9,-4.2,-0.55,1.35
2010-01-05,shigu,石鼓,Shigu,0.0,6.81,13.27,0.86,3.504304038386276,1.43,14522412.0,16166680.0,855.9219,99.95,26.95,2010,754.14,-1.75,-0.59,1.28
2010-01-06,shigu,石鼓,Shigu,0.0,7.01,13.68,1.37,3.3799560280992287,1.33,13534500.0,15069188.0,849.625,99.95,26.95,2010,756.82,-2.24,-0.3,1.18
2010-01-07,shigu,石鼓,Shigu,0.0,7.25,14.6,0.61,3.726303964034154,1.0,14876918.0,16566244.0,843.40625,99.95,26.95,2010,759.04,-4.23,-0.54,0.8
2010-01-08,shigu,石鼓,Shigu,0.0,7.45,14.92,0.44,3.8252710285241984,1.36,14963770.0,16665668.0,837.28125,99.95,26.95,2010,756.26,-3.58,-0.52,1.22
2010-01-09,shigu,石鼓,Shigu,0.0,6.39,13.16,0.71,3.5875162715981364,1.65,14860658.0,16553616.0,831.28125,99.95,26.95,2010,754.52,-2.85,-0.63,1.51
2010-01-10,shigu,石鼓,Shigu,0.0,7.17,14.04,0.7,3.518073140803292,1.27,14583860.0,16248044.0,825.34375,99.95,26.95,2010,754.72,-0.99,-0.47,1.14
2010-01-11,shigu,石鼓,Shigu,0.01,7.94,14.04,2.1,2.97243665910715,1.08,11298598.0,12590100.0,819.5469,99.95,26.95,2010,755.16,-0.9,-0.18,1.0
2010-01-12,shigu,石鼓,Shigu,0.16,7.7,12.75,2.9,2.646216331402264,1.09,9743284.0,10861144.0,814.0,99.95,26.95,2010,755.99,-1.21,0.05,0.89
2010-01-13,shigu,石鼓,Shigu,0.0,8.1,14.28,2.49,3.1998581101422787,0.97,12356978.0,13776656.0,808.7656,99.95,26.95,2010,758.16,-1.11,-0.09,0.84
2010-01-14,shigu,石鼓,Shigu,0.0,9.09,15.55,2.74,3.92679748869744,1.59,14282736.0,15925212.0,803.75,99.95,26.95,2010,758.07,-1.41,-0.25,1.53
2010-01-15,shigu,石鼓,Shigu,0.01,7.88,13.87,2.51,3.604357613146537,1.27,13953878.0,15560536.0,798.5625,99.95,26.95,2010,761.28,-2.08,-0.63,1.06
2010-01-16,shigu,石鼓,Shigu,0.0,8.85,16.27,2.23,4.06513405488517,1.22,15399664.0,17175376.0,793.3125,99.95,26.95,2010,762.11,-2.07,-0.5,1.02
2010-01-17,shigu,石鼓,Shigu,0.0,9.85,17.39,2.08,4.234435908285427,0.81,15590156.0,17391000.0,787.6406,99.95,26.95,2010,761.83,-3.59,-0.21,0.61
2010-01-18,shigu,石鼓,Shigu,0.0,9.71,17.36,1.83,4.424785254341464,1.37,15673736.0,17487608.0,781.625,99.95,26.95,2010,759.13,-3.67,-0.41,1.26
2010-01-19,shigu,石鼓,Shigu,0.0,9.82,16.54,2.83,4.1365271043600425,1.25,14470812.0,16148980.0,775.9219,99.95,26.95,2010,758.1,-3.3,-0.42,1.14
2010-01-20,shigu,石鼓,Shigu,0.0,8.96,15.97,2.07,4.383104290567884,1.36,15837078.0,17677008.0,770.7344,99.95,26.95,2010,759.66,-5.06,-0.42,1.22
2010-01-21,shigu,石鼓,Shigu,0.0,9.24,17.07,1.75,4.447457986592784,1.1,16113334.0,17989028.0,765.53125,99.95,26.95,2010,758.96,-5.99,-0.31,0.93
2010-01-22,shigu,石鼓,Shigu,0.0,9.19,16.12,1.86,4.580809976326421,1.21,16194362.0,18083192.0,760.0469,99.95,26.95,2010,758.68,-8.01,-0.13,1.07
2010-01-23,shigu,石鼓,Shigu,0.0,9.26,15.96,2.26,4.541876156139057,1.17,16208856.0,18103132.0,754.4219,99.95,26.95,2010,757.88,-7.02,-0.12,1.09
2010-01-24,shigu,石鼓,Shigu,0.0,8.14,14.54,1.98,4.177023690981438,1.45,15343230.0,17139964.0,748.90625,99.95,26.95,2010,758.94,-5.51,-0.28,1.35
2010-01-25,shigu,石鼓,Shigu,0.0,9.29,16.11,1.79,4.380961149159665,0.99,15746550.0,17594148.0,743.6719,99.95,26.95,2010,758.71,-7.16,0.06,0.89
2010-01-26,shigu,石鼓,Shigu,0.37,6.17,11.34,1.74,3.052541105476976,1.32,12396692.0,13859888.0,738.5469,99.95,26.95,2010,757.11,-2.65,-0.08,1.27
2010-01-27,shigu,石鼓,Shigu,0.38,6.01,12.08,0.81,3.75593700788862,1.56,15535724.0,17384914.0,733.4531,99.95,26.95,2010,757.89,-4.63,-0.5,1.46
2010-01-28,shigu,石鼓,Shigu,0.0,7.7,15.27,0.65,4.258014033011688,1.5,16603408.0,18578124.0,728.34375,99.95,26.95,2010,757.49,-4.06,-0.39,1.41
2010-01-29,shigu,石鼓,Shigu,0.0,8.46,15.99,1.52,4.38007591337744,1.46,16612264.0,18586692.0,723.0781,99.95,26.95,2010,756.31,-3.54,-0.37,1.39
2010-01-30,shigu,石鼓,Shigu,0.0,7.94,14.3,1.86,4.119178264090117,1.51,15462684.0,17300808.0,717.8906,99.95,26.95,2010,755.54,-4.47,-0.21,1.45
2010-01-31,shigu,石鼓,Shigu,0.0,7.68,14.22,1.66,4.052912338832088,1.61,15666048.0,17530284.0,713.2656,99.95,26.95,2010,756.77,-3.39,-0.39,1.52
2010-02-01,shigu,石鼓,Shigu,0.0,8.14,14.2,2.33,4.215416779079509,1.58,15452718.0,17293284.0,709.21875,99.95,26.95,2010,755.17,-5.1,-0.14,1.52
2010-02-02,shigu,石鼓,Shigu,0.01,8.07,14.28,2.22,4.284560305318284,1.59,15930596.0,17830632.0,704.90625,99.95,26.95,2010,754.67,-4.94,-0.24,1.53
2010-02-03,shigu,石鼓,Shigu,0.01,8.25,14.56,2.84,4.248730959918643,1.69,15454210.0,17300800.0,700.53125,99.95,26.95,2010,754.7,-4.79,0.03,1.62
