phase,global_start,global_end,n_rows,station,start,end
train,2010-01-01,2019-12-21,29136,,,
train,,,3642,华弹,2010-01-01,2019-12-21
train,,,3642,屏山,2010-01-01,2019-12-21
train,,,3642,岗拖,2010-01-01,2019-12-21
train,,,3642,巴塘,2010-01-01,2019-12-21
train,,,3642,攀枝花,2010-01-01,2019-12-21
train,,,3642,石鼓,2010-01-01,2019-12-21
train,,,3642,金江街,2010-01-01,2019-12-21
train,,,3642,阿海,2010-01-01,2019-12-21
valid,2019-12-22,2022-02-08,6240,,,
valid,,,780,华弹,2019-12-22,2022-02-08
valid,,,780,屏山,2019-12-22,2022-02-08
valid,,,780,岗拖,2019-12-22,2022-02-08
valid,,,780,巴塘,2019-12-22,2022-02-08
valid,,,780,攀枝花,2019-12-22,2022-02-08
valid,,,780,石鼓,2019-12-22,2022-02-08
valid,,,780,金江街,2019-12-22,2022-02-08
valid,,,780,阿海,2019-12-22,2022-02-08
test,2022-02-09,2024-03-31,6256,,,
test,,,782,华弹,2022-02-09,2024-03-31
test,,,782,屏山,2022-02-09,2024-03-31
test,,,782,岗拖,2022-02-09,2024-03-31
test,,,782,巴塘,2022-02-09,2024-03-31
test,,,782,攀枝花,2022-02-09,2024-03-31
test,,,782,石鼓,2022-02-09,2024-03-31
test,,,782,金江街,2022-02-09,2024-03-31
test,,,782,阿海,2022-02-09,2024-03-31
